time_ms,neuron_id,zone
50.4000,467,input
50.6000,147,input
50.7000,462,input
50.9000,85,input
50.9000,349,input
51.2000,72,input
51.2000,285,input
51.3000,16,reservoir
51.4000,235,reservoir
51.5000,23,input
51.5000,49,reservoir
51.5000,515,reservoir
51.5000,687,reservoir
51.6000,242,reservoir
51.6000,353,reservoir
51.6000,395,input
51.6000,498,reservoir
51.6000,511,reservoir
51.7000,27,input
51.7000,88,reservoir
51.7000,360,reservoir
51.8000,490,input
51.8000,506,reservoir
51.9000,18,input
51.9000,491,reservoir
52.0000,62,input
52.0000,208,reservoir
52.0000,289,input
52.0000,449,reservoir
52.0000,509,input
52.0000,562,input
52.0000,692,reservoir
52.1000,192,input
52.1000,241,reservoir
52.1000,439,reservoir
52.1000,523,reservoir
52.2000,28,reservoir
52.2000,163,reservoir
52.2000,265,input
52.2000,397,input
52.2000,412,reservoir
52.2000,457,input
52.2000,592,input
52.2000,672,reservoir
52.3000,101,reservoir
52.3000,229,reservoir
52.3000,230,reservoir
52.3000,293,input
52.3000,583,reservoir
52.4000,29,reservoir
52.4000,136,input
52.4000,140,reservoir
52.4000,248,reservoir
52.4000,280,reservoir
52.4000,308,input
52.4000,372,input
52.4000,415,input
52.5000,74,reservoir
52.5000,297,reservoir
52.5000,377,reservoir
52.5000,639,reservoir
52.5000,649,reservoir
52.5000,700,reservoir
52.5000,725,reservoir
52.6000,97,reservoir
52.6000,175,reservoir
52.6000,212,reservoir
52.6000,436,reservoir
52.6000,496,reservoir
52.6000,497,reservoir
52.6000,552,reservoir
52.6000,699,reservoir
52.7000,45,reservoir
52.7000,96,input
52.7000,131,reservoir
52.7000,189,reservoir
52.7000,210,reservoir
52.7000,233,reservoir
52.7000,291,reservoir
52.7000,499,reservoir
52.7000,555,reservoir
52.7000,575,reservoir
52.7000,591,reservoir
52.7000,604,input
52.7000,676,reservoir
52.8000,47,reservoir
52.8000,78,reservoir
52.8000,86,reservoir
52.8000,143,reservoir
52.8000,155,reservoir
52.8000,220,reservoir
52.8000,253,reservoir
52.8000,259,reservoir
52.8000,482,reservoir
52.8000,486,reservoir
52.8000,540,reservoir
52.8000,545,reservoir
52.8000,599,reservoir
52.8000,636,reservoir
52.9000,61,reservoir
52.9000,111,reservoir
52.9000,174,reservoir
52.9000,178,reservoir
52.9000,243,reservoir
52.9000,272,reservoir
52.9000,275,reservoir
52.9000,391,reservoir
52.9000,423,reservoir
52.9000,440,reservoir
52.9000,455,reservoir
52.9000,458,reservoir
52.9000,476,reservoir
52.9000,594,reservoir
52.9000,596,reservoir
52.9000,600,reservoir
52.9000,702,reservoir
52.9000,719,reservoir
53.0000,2,reservoir
53.0000,60,reservoir
53.0000,95,reservoir
53.0000,149,reservoir
53.0000,172,reservoir
53.0000,182,reservoir
53.0000,277,reservoir
53.0000,406,reservoir
53.0000,411,reservoir
53.0000,447,reservoir
53.0000,478,reservoir
53.0000,494,reservoir
53.0000,527,reservoir
53.0000,568,reservoir
53.0000,606,reservoir
53.0000,621,reservoir
53.0000,657,reservoir
53.0000,680,reservoir
53.0000,709,reservoir
53.1000,75,reservoir
53.1000,107,reservoir
53.1000,130,reservoir
53.1000,244,reservoir
53.1000,284,reservoir
53.1000,407,reservoir
53.1000,493,input
53.1000,508,reservoir
53.1000,587,reservoir
53.1000,607,reservoir
53.1000,617,reservoir
53.2000,24,reservoir
53.2000,148,reservoir
53.2000,252,reservoir
53.2000,331,reservoir
53.2000,336,reservoir
53.2000,338,reservoir
53.2000,409,reservoir
53.2000,500,reservoir
53.2000,537,reservoir
53.2000,659,reservoir
53.3000,25,reservoir
53.3000,121,reservoir
53.3000,273,reservoir
53.3000,325,input
53.3000,578,reservoir
53.3000,611,reservoir
53.3000,637,reservoir
53.4000,257,reservoir
53.4000,294,reservoir
53.5000,1,reservoir
53.5000,316,reservoir
53.5000,339,reservoir
53.6000,67,reservoir
53.6000,438,reservoir
53.6000,706,reservoir
53.7000,228,reservoir
53.7000,634,input
53.8000,334,reservoir
53.9000,98,input
54.0000,274,reservoir
54.0000,466,input
54.5000,360,reservoir
54.6000,353,reservoir
54.6000,526,input
54.7000,346,input
54.8000,208,reservoir
54.8000,492,reservoir
54.9000,29,reservoir
54.9000,123,input
55.0000,722,input
55.2000,253,reservoir
55.3000,379,input
55.3000,636,reservoir
55.4000,112,reservoir
55.4000,243,reservoir
55.5000,191,reservoir
55.5000,345,input
55.6000,16,reservoir
55.6000,467,input
55.6000,621,reservoir
55.6000,649,reservoir
55.7000,97,reservoir
55.7000,233,reservoir
55.7000,244,reservoir
55.8000,26,input
55.8000,75,reservoir
55.8000,271,reservoir
56.0000,147,input
56.0000,216,reservoir
56.0000,391,reservoir
56.1000,85,input
56.2000,462,input
56.4000,579,input
56.5000,285,input
56.5000,388,input
56.5000,490,input
56.5000,568,reservoir
56.7000,140,reservoir
56.7000,687,reservoir
56.8000,72,input
56.8000,515,reservoir
56.9000,349,input
56.9000,607,reservoir
57.0000,23,input
57.0000,90,input
57.0000,377,reservoir
57.1000,457,input
57.1000,531,reservoir
57.1000,659,reservoir
57.2000,27,input
57.2000,175,reservoir
57.3000,265,input
57.3000,331,reservoir
57.3000,509,input
57.4000,29,reservoir
57.4000,49,reservoir
57.4000,360,reservoir
57.4000,685,input
57.5000,177,input
57.6000,253,reservoir
57.6000,353,reservoir
57.6000,562,input
57.7000,18,input
57.7000,243,reservoir
57.7000,575,reservoir
57.7000,619,input
57.8000,208,reservoir
57.8000,415,input
57.8000,491,reservoir
57.8000,636,reservoir
57.9000,62,input
57.9000,174,reservoir
57.9000,297,reservoir
57.9000,497,reservoir
58.0000,250,reservoir
58.0000,289,input
58.0000,342,reservoir
58.0000,592,input
58.0000,599,reservoir
58.1000,308,input
58.1000,407,reservoir
58.2000,22,reservoir
58.2000,293,input
58.2000,395,input
58.3000,88,reservoir
58.3000,95,reservoir
58.3000,96,input
58.3000,492,reservoir
58.4000,45,reservoir
58.4000,148,reservoir
58.4000,372,input
58.4000,397,input
58.4000,527,reservoir
58.5000,75,reservoir
58.5000,192,input
58.5000,233,reservoir
58.5000,498,reservoir
58.6000,97,reservoir
58.6000,391,reservoir
58.6000,499,reservoir
58.6000,552,reservoir
58.6000,594,reservoir
58.6000,649,reservoir
58.6000,719,reservoir
58.7000,478,reservoir
58.7000,621,reservoir
58.7000,699,reservoir
58.7000,706,reservoir
58.8000,102,input
58.8000,230,reservoir
58.8000,493,input
58.9000,113,reservoir
58.9000,676,reservoir
59.0000,438,reservoir
59.0000,634,input
59.0000,709,reservoir
59.1000,86,reservoir
59.1000,291,reservoir
59.3000,305,input
59.3000,637,reservoir
59.4000,244,reservoir
59.4000,568,reservoir
59.5000,1,reservoir
59.5000,659,reservoir
59.6000,272,reservoir
59.8000,16,reservoir
59.9000,29,reservoir
59.9000,136,input
60.0000,243,reservoir
60.0000,253,reservoir
60.1000,377,reservoir
60.2000,467,input
60.2000,471,reservoir
60.3000,360,reservoir
60.3000,630,input
60.4000,604,input
60.5000,175,reservoir
60.6000,123,input
60.6000,342,reservoir
60.7000,208,reservoir
60.7000,331,reservoir
60.7000,353,reservoir
60.7000,407,reservoir
60.8000,607,reservoir
60.9000,85,input
61.0000,140,reservoir
61.0000,351,input
61.0000,379,input
61.1000,636,reservoir
61.2000,148,reservoir
61.3000,147,input
61.3000,285,input
61.3000,287,input
61.3000,346,input
61.3000,722,input
61.4000,98,input
61.4000,621,reservoir
61.5000,233,reservoir
61.5000,687,reservoir
61.7000,490,input
61.8000,113,reservoir
61.8000,462,input
61.8000,649,reservoir
61.9000,112,reservoir
61.9000,345,input
62.0000,250,reservoir
62.0000,438,reservoir
62.0000,478,reservoir
62.0000,515,reservoir
62.0000,526,input
62.1000,191,reservoir
62.1000,659,reservoir
62.2000,216,reservoir
62.2000,291,reservoir
62.2000,457,input
62.3000,23,input
62.3000,75,reservoir
62.3000,498,reservoir
62.3000,648,reservoir
62.4000,26,input
62.4000,29,reservoir
62.4000,72,input
62.4000,253,reservoir
62.4000,391,reservoir
62.5000,243,reservoir
62.6000,244,reservoir
62.8000,27,input
62.8000,388,input
62.8000,509,input
62.8000,726,reservoir
62.9000,45,reservoir
62.9000,568,reservoir
63.0000,562,input
63.1000,265,input
63.1000,360,reservoir
63.3000,18,input
63.3000,342,reservoir
63.3000,349,input
63.4000,497,reservoir
63.4000,636,reservoir
63.5000,308,input
63.5000,415,input
63.5000,599,reservoir
63.6000,62,input
63.6000,607,reservoir
63.7000,353,reservoir
63.7000,706,reservoir
63.8000,96,input
63.8000,175,reservoir
63.8000,325,input
63.9000,293,input
63.9000,331,reservoir
64.0000,16,reservoir
64.0000,297,reservoir
64.0000,372,input
64.1000,289,input
64.1000,466,input
64.1000,621,reservoir
64.3000,477,input
64.3000,592,input
64.3000,676,reservoir
64.4000,192,input
64.4000,208,reservoir
64.4000,233,reservoir
64.4000,395,input
64.4000,634,input
64.4000,685,input
64.5000,493,input
64.6000,1,reservoir
64.6000,397,input
64.6000,407,reservoir
64.6000,579,input
64.7000,243,reservoir
64.7000,649,reservoir
64.8000,75,reservoir
64.8000,86,reservoir
64.8000,170,input
64.8000,253,reservoir
64.8000,659,reservoir
64.9000,24,reservoir
64.9000,29,reservoir
64.9000,90,input
64.9000,274,reservoir
64.9000,377,reservoir
64.9000,385,input
64.9000,440,reservoir
65.0000,148,reservoir
65.0000,247,reservoir
65.0000,391,reservoir
65.0000,426,reservoir
65.1000,22,reservoir
65.1000,140,reservoir
65.1000,216,reservoir
65.1000,438,reservoir
65.1000,545,reservoir
65.2000,531,reservoir
65.3000,113,reservoir
65.3000,330,reservoir
65.3000,467,input
65.4000,244,reservoir
65.5000,565,reservoir
65.6000,83,reservoir
65.6000,257,reservoir
65.6000,491,reservoir
65.8000,85,input
65.8000,515,reservoir
65.8000,568,reservoir
65.8000,726,reservoir
65.9000,45,reservoir
65.9000,158,reservoir
65.9000,342,reservoir
66.0000,147,input
66.0000,305,input
66.0000,360,reservoir
66.0000,707,input
66.1000,363,input
66.2000,112,reservoir
66.3000,285,input
66.4000,687,reservoir
66.5000,379,input
66.5000,607,reservoir
66.7000,353,reservoir
66.8000,58,input
66.8000,177,input
66.8000,213,reservoir
66.8000,681,reservoir
66.9000,346,input
66.9000,490,input
66.9000,619,input
66.9000,621,reservoir
67.0000,297,reservoir
67.1000,136,input
67.1000,175,reservoir
67.2000,123,input
67.2000,208,reservoir
67.2000,253,reservoir
67.2000,457,input
67.2000,572,reservoir
67.2000,659,reservoir
67.2000,722,input
67.3000,54,reservoir
67.3000,604,input
67.4000,23,input
67.4000,29,reservoir
67.4000,216,reservoir
67.4000,462,input
67.4000,575,reservoir
67.5000,191,reservoir
67.5000,400,reservoir
67.5000,517,input
67.6000,142,reservoir
67.6000,162,reservoir
67.7000,562,input
67.8000,265,input
67.8000,391,reservoir
67.9000,72,input
67.9000,75,reservoir
67.9000,148,reservoir
67.9000,233,reservoir
67.9000,271,reservoir
67.9000,331,reservoir
67.9000,496,reservoir
67.9000,649,reservoir
68.0000,438,reservoir
68.0000,470,input
68.1000,73,reservoir
68.1000,526,input
68.1000,630,input
68.1000,636,reservoir
68.2000,16,reservoir
68.2000,26,input
68.2000,229,reservoir
68.3000,407,reservoir
68.3000,599,reservoir
68.3000,676,reservoir
68.4000,27,input
68.4000,113,reservoir
68.4000,509,input
68.5000,18,input
68.5000,342,reservoir
68.6000,632,reservoir
68.7000,45,reservoir
68.7000,83,reservoir
68.7000,98,input
68.7000,308,input
68.7000,345,input
68.8000,62,input
68.8000,360,reservoir
68.8000,388,input
68.9000,706,reservoir
69.0000,287,input
69.0000,415,input
69.0000,568,reservoir
69.1000,140,reservoir
69.2000,351,input
69.2000,515,reservoir
69.3000,293,input
69.3000,349,input
69.3000,607,reservoir
69.4000,96,input
69.4000,244,reservoir
69.4000,531,reservoir
69.4000,621,reservoir
69.5000,84,input
69.5000,243,reservoir
69.6000,253,reservoir
69.7000,353,reservoir
69.7000,455,reservoir
69.7000,659,reservoir
69.8000,250,reservoir
69.8000,578,reservoir
69.9000,29,reservoir
69.9000,491,reservoir
69.9000,634,input
70.0000,160,input
70.0000,208,reservoir
70.0000,467,input
70.0000,657,reservoir
70.0000,726,reservoir
70.1000,46,reservoir
70.1000,289,input
