inc,tau,g_tonic,rate_hz,crossover_ms,peak_spike_sep,peak_adapt_sep,final_spike_sep,final_adapt_sep
0.0000,5000.0,4.995117,24.9,-1.0,47.5577,0.0000,10.9954,0.0000
0.0050,5000.0,4.995117,23.8,-1.0,46.8639,2.5188,10.4866,2.5188
0.0067,5000.0,4.995117,23.3,-1.0,46.5055,3.3272,9.9938,3.3239
0.0090,5000.0,4.995117,23.0,-1.0,45.7669,4.3602,9.5151,4.3476
0.0121,5000.0,4.995117,22.4,-1.0,44.9757,5.6890,9.3274,5.6568
0.0162,5000.0,4.921875,21.9,-1.0,44.7692,7.3684,8.8499,7.3065
0.0218,5000.0,4.687500,21.7,490.0,43.4029,9.4993,8.6490,9.3895
0.0292,5000.0,4.375000,21.9,470.0,43.0780,12.1624,8.3015,11.9479
0.0392,5000.0,4.375000,20.6,430.0,41.9969,15.3063,7.4177,14.9522
0.0527,5000.0,3.750000,21.3,390.0,41.2456,19.4094,7.8306,18.9077
0.0707,5000.0,3.750000,19.7,310.0,40.6339,27.5603,9.0943,27.5603
0.0949,5000.0,3.750000,18.0,290.0,38.6546,37.9599,9.9427,37.9599
0.1274,5000.0,2.500000,21.0,250.0,37.9412,52.2636,11.7336,52.2636
0.1710,5000.0,2.500000,19.6,210.0,35.1873,80.9404,14.6313,80.9404
0.2295,5000.0,2.500000,18.2,170.0,31.8668,113.0216,17.2363,113.0216
0.3081,5000.0,1.250000,20.5,150.0,31.4040,155.6307,18.5567,155.6307
0.4135,5000.0,0.000000,21.6,70.0,29.5586,201.6948,18.4395,201.6948
0.5550,5000.0,0.000000,18.4,50.0,27.5273,286.6150,18.7315,286.6150
0.7450,5000.0,0.625000,22.0,30.0,27.1653,455.7312,21.7157,455.7312
1.0000,5000.0,0.625000,19.1,10.0,24.4218,585.0055,21.4728,585.0055
0.0000,7200.0,4.995117,24.9,-1.0,47.5579,0.0000,11.0705,0.0000
0.0050,7200.0,4.995117,23.7,-1.0,46.7779,2.5712,10.3497,2.5712
0.0067,7200.0,4.995117,23.3,-1.0,46.4448,3.3828,9.8871,3.3828
0.0090,7200.0,4.995117,22.9,-1.0,45.5733,4.4281,9.5347,4.4281
