rank,stim_current,input_tau_e,input_adapt_inc,input_std_u,input_std_tau_rec,original_mi,original_r20,mean_rate_hz,spike_bsa_r_20ms,mi_5ms_q4,mi_5ms_q8,mi_5ms_q16,mi_5ms_q32,mi_10ms_q4,mi_10ms_q8,mi_10ms_q16,mi_10ms_q32,mi_20ms_q4,mi_20ms_q8,mi_20ms_q16,mi_20ms_q32,mi_50ms_q4,mi_50ms_q8,mi_50ms_q16,mi_50ms_q32
1,1.0000,0.57,0.0050,0.0000,0.0,1.1978,0.7989,117.18,0.8346,0.6604,0.9936,1.3407,1.7776,0.7534,1.0976,1.4171,1.8213,0.8189,1.1662,1.4802,1.8964,0.9340,1.3047,1.6622,2.2053
2,1.0000,0.57,0.0000,0.0000,0.0,1.1913,0.7943,117.67,0.8308,0.6619,0.9956,1.3426,1.7785,0.7585,1.1050,1.4237,1.8261,0.8308,1.1855,1.5068,1.9291,0.9291,1.3009,1.6575,2.2033
3,1.3895,0.57,0.0158,0.0000,0.0,1.1895,0.7946,118.62,0.8311,0.6668,1.0014,1.3482,1.7818,0.7509,1.0931,1.4095,1.8094,0.8286,1.1792,1.4974,1.9174,0.9350,1.3096,1.6648,2.2089
4,2.6827,0.31,0.0500,0.0000,0.0,1.1882,0.8005,116.27,0.8335,0.6481,0.9732,1.3171,1.7575,0.7491,1.0845,1.3988,1.7960,0.8162,1.1634,1.4789,1.8957,0.9259,1.2900,1.6413,2.1825
5,0.5179,1.05,0.0000,0.0000,0.0,1.1864,0.7887,118.70,0.8269,0.6634,0.9977,1.3447,1.7781,0.7462,1.0908,1.4068,1.8095,0.8297,1.1848,1.5082,1.9351,0.9330,1.3095,1.6689,2.2175
6,1.3895,0.57,0.0050,0.0000,0.0,1.1857,0.7878,119.29,0.8256,0.6690,1.0038,1.3520,1.7840,0.7647,1.1137,1.4327,1.8340,0.8278,1.1819,1.5005,1.9217,0.9321,1.3089,1.6708,2.2171
7,1.9307,0.31,0.0050,0.0000,0.0,1.1838,0.7932,116.30,0.8291,0.6576,0.9884,1.3340,1.7771,0.7645,1.1104,1.4294,1.8306,0.8240,1.1742,1.4928,1.9113,0.9238,1.2922,1.6453,2.1885
8,1.9307,0.31,0.0000,0.0000,0.0,1.1835,0.7921,116.60,0.8273,0.6581,0.9891,1.3354,1.7770,0.7639,1.1101,1.4287,1.8298,0.8202,1.1719,1.4898,1.9078,0.9224,1.2914,1.6432,2.1909
9,1.9307,0.57,0.0500,0.0000,0.0,1.1829,0.7990,119.03,0.8335,0.6699,1.0033,1.3517,1.7837,0.7523,1.0909,1.4068,1.8049,0.8182,1.1654,1.4786,1.8962,0.9278,1.3007,1.6552,2.1972
10,5.0000,0.17,0.0000,0.0000,0.0,1.1829,0.7860,116.19,0.8177,0.6539,0.9819,1.3274,1.7707,0.7542,1.0977,1.4125,1.8097,0.8109,1.1567,1.4721,1.8891,0.9096,1.2711,1.6196,2.1697
11,5.0000,0.31,0.0158,0.0000,0.0,1.1812,0.7830,119.72,0.8198,0.6684,1.0039,1.3524,1.7850,0.7670,1.1177,1.4384,1.8409,0.8285,1.1800,1.4991,1.9221,0.9307,1.3042,1.6634,2.2136
12,5.0000,0.31,0.0500,0.0000,0.0,1.1810,0.7858,119.13,0.8225,0.6674,1.0015,1.3494,1.7837,0.7632,1.1104,1.4270,1.8250,0.8286,1.1770,1.4934,1.9145,0.9234,1.2942,1.6482,2.1930
13,3.7276,0.31,0.1581,0.0000,0.0,1.1806,0.8076,115.76,0.8376,0.6489,0.9711,1.3148,1.7545,0.7456,1.0769,1.3892,1.7849,0.8144,1.1599,1.4716,1.8815,0.9351,1.3013,1.6517,2.1912
14,5.0000,0.17,0.0050,0.0000,0.0,1.1801,0.7864,116.08,0.8180,0.6539,0.9813,1.3267,1.7701,0.7580,1.1034,1.4200,1.8188,0.8075,1.1520,1.4649,1.8805,0.9095,1.2720,1.6185,2.1685
15,2.6827,0.57,0.0500,0.0000,0.0,1.1799,0.7871,120.80,0.8232,0.6753,1.0119,1.3600,1.7887,0.7647,1.1136,1.4334,1.8351,0.8374,1.1945,1.5175,1.9463,0.9296,1.3017,1.6620,2.2144
