time_ms,freq_bin
0.1250,20
0.1250,27
0.1250,26
0.1250,25
0.1250,24
0.1250,21
0.1250,23
0.1250,22
0.2500,23
0.2500,24
0.2500,28
0.2500,2
0.2500,25
0.2500,22
0.2500,19
0.2500,1
0.2500,0
0.2500,21
0.3750,18
0.5000,17
0.6250,16
0.6250,17
0.7500,15
0.7500,16
0.8750,14
0.8750,15
1.0000,13
1.0000,14
1.1250,13
1.2500,12
1.3750,35
1.3750,11
1.3750,12
1.3750,37
1.3750,33
1.3750,34
1.3750,36
1.5000,31
1.5000,32
1.5000,11
1.6250,29
1.6250,30
1.6250,31
1.6250,32
1.6250,10
1.7500,29
1.7500,30
1.7500,9
1.7500,10
1.8750,9
1.8750,20
1.8750,27
2.0000,22
2.0000,25
2.0000,27
2.0000,19
2.0000,26
2.0000,1
2.0000,20
2.0000,0
2.0000,21
2.0000,28
2.1250,1
2.1250,8
2.1250,18
2.1250,23
2.1250,0
2.1250,22
2.1250,26
2.1250,28
2.1250,25
2.1250,21
2.1250,19
2.1250,24
2.2500,8
2.2500,23
2.2500,24
2.2500,18
2.3750,17
2.3750,7
2.5000,16
2.5000,7
2.5000,17
2.6250,15
2.6250,16
2.7500,84
2.7500,15
2.7500,14
2.7500,83
2.7500,85
2.7500,6
2.8750,13
2.8750,14
3.0000,13
3.1250,86
3.1250,87
3.1250,12
3.2500,11
3.2500,88
3.2500,34
3.2500,82
3.2500,35
3.2500,81
3.2500,5
3.2500,33
3.2500,12
3.2500,36
3.3750,11
3.3750,10
3.3750,32
3.3750,31
3.5000,31
3.5000,29
3.5000,10
3.5000,32
3.5000,9
3.5000,30
3.6250,9
3.6250,30
3.6250,91
3.6250,29
3.6250,89
3.7500,27
3.7500,9
3.8750,0
3.8750,25
3.8750,28
3.8750,22
3.8750,4
3.8750,27
3.8750,8
3.8750,20
3.8750,80
3.8750,26
4.0000,8
4.0000,0
4.0000,28
4.0000,19
4.0000,23
4.0000,24
4.0000,18
4.0000,22
4.0000,25
4.0000,4
4.0000,26
4.0000,21
4.1250,19
4.1250,24
4.1250,18
4.1250,90
4.1250,23
4.1250,8
4.2500,17
4.2500,7
4.3750,6
4.3750,17
4.3750,16
4.3750,7
4.5000,16
4.5000,6
4.5000,7
4.5000,15
4.6250,85
4.6250,84
4.6250,15
4.6250,14
4.6250,83
4.7500,14
4.7500,13
4.8750,3
4.8750,13
4.8750,5
5.0000,12
5.0000,86
5.0000,87
5.0000,5
5.1250,82
5.1250,81
5.1250,11
5.1250,33
5.1250,116
5.1250,35
5.1250,34
5.1250,88
5.1250,12
5.1250,117
5.2500,11
5.2500,31
5.2500,10
5.3750,31
5.3750,118
5.3750,32
5.3750,29
5.3750,30
5.3750,10
5.5000,9
5.5000,29
5.5000,89
5.5000,30
5.6250,9
5.6250,27
5.6250,91
5.6250,20
5.7500,104
5.7500,115
5.7500,26
5.7500,27
5.7500,4
5.7500,22
5.7500,20
5.7500,21
5.7500,28
5.7500,25
5.8750,4
5.8750,21
5.8750,18
5.8750,24
5.8750,19
5.8750,23
5.8750,26
5.8750,0
5.8750,28
5.8750,22
5.8750,25
5.8750,8
6.0000,24
6.0000,18
6.0000,8
6.0000,19
6.0000,23
6.1250,41
6.1250,90
6.1250,17
6.1250,106
6.1250,105
6.2500,16
6.2500,7
6.2500,17
6.2500,6
6.2500,40
6.2500,39
6.3750,16
6.3750,15
6.3750,6
6.3750,7
6.5000,14
6.5000,83
6.5000,84
6.5000,15
6.5000,85
6.6250,13
6.6250,14
6.6250,38
6.6250,3
6.7500,3
6.7500,5
6.7500,87
6.7500,13
6.7500,37
6.8750,12
6.8750,13
6.8750,86
6.8750,5
7.0000,12
7.0000,88
7.0000,11
7.1250,11
7.1250,36
7.1250,12
7.1250,10
7.2500,29
7.2500,31
7.2500,30
7.2500,10
7.2500,11
7.3750,35
7.3750,29
7.3750,30
7.3750,9
7.3750,89
7.5000,34
7.5000,9
7.5000,27
7.5000,20
7.6250,21
7.6250,27
7.6250,25
7.6250,91
7.6250,20
7.6250,28
7.6250,26
7.6250,33
7.6250,22
7.6250,4
7.7500,18
7.7500,4
7.7500,26
7.7500,28
7.7500,19
7.7500,21
7.7500,22
7.7500,24
7.7500,2
7.7500,25
7.7500,23
7.7500,8
7.8750,8
7.8750,19
7.8750,23
7.8750,18
7.8750,24
8.0000,90
8.0000,17
8.1250,17
8.1250,6
8.1250,16
8.1250,7
8.2500,15
8.2500,16
8.2500,6
8.2500,7
8.3750,15
8.3750,83
8.3750,84
8.3750,85
8.3750,14
8.5000,3
8.5000,87
8.5000,14
8.6250,13
8.6250,87
8.6250,117
8.6250,5
8.6250,3
8.7500,82
8.7500,13
8.7500,86
8.7500,5
8.7500,88
8.8750,88
8.8750,10
8.8750,81
8.8750,11
8.8750,12
9.0000,10
9.0000,11
9.0000,12
9.1250,10
9.1250,29
9.1250,9
9.1250,1
9.2500,29
9.2500,89
9.2500,30
9.2500,9
9.2500,35
9.3750,32
9.3750,9
9.3750,27
9.3750,20
9.3750,31
9.3750,34
9.5000,8
9.5000,33
9.5000,91
9.5000,28
9.5000,20
9.5000,21
9.5000,27
9.5000,25
9.5000,26
9.5000,22
9.5000,2
9.6250,28
9.6250,22
9.6250,4
9.6250,23
9.6250,19
9.6250,33
9.6250,21
9.6250,26
9.6250,24
9.6250,25
9.6250,8
9.6250,2
9.6250,18
9.7500,23
9.7500,18
9.7500,8
9.7500,24
9.7500,19
9.8750,17
9.8750,7
9.8750,90
10.0000,7
10.0000,17
10.0000,6
10.0000,16
10.1250,85
10.1250,15
10.1250,6
10.1250,16
10.1250,7
10.2500,6
10.2500,15
10.2500,84
10.2500,85
10.2500,83
10.2500,14
10.3750,87
10.3750,14
10.3750,84
10.5000,13
10.5000,86
10.5000,3
10.5000,87
10.5000,5
10.6250,86
10.6250,88
10.6250,13
10.6250,5
10.6250,82
10.7500,12
10.7500,40
10.7500,39
10.7500,88
10.7500,81
10.7500,41
10.7500,11
10.8750,1
10.8750,12
10.8750,10
10.8750,11
11.0000,89
11.0000,1
11.0000,38
11.0000,10
11.1250,30
11.1250,0
11.1250,29
11.1250,9
11.2500,9
11.2500,32
11.2500,20
11.2500,27
11.2500,31
11.2500,37
11.3750,20
11.3750,28
11.3750,27
11.3750,26
11.3750,21
11.3750,4
11.3750,22
11.3750,2
11.3750,25
11.3750,91
11.5000,24
11.5000,18
11.5000,33
11.5000,28
11.5000,19
11.5000,26
11.5000,4
11.5000,23
11.5000,25
11.5000,2
11.5000,21
11.5000,8
11.5000,22
11.6250,23
11.6250,19
11.6250,18
11.6250,8
11.6250,24
11.7500,17
11.7500,90
11.8750,7
11.8750,16
11.8750,17
12.0000,7
12.0000,16
12.0000,6
12.0000,83
12.0000,85
12.0000,15
12.1250,14
12.1250,85
12.1250,15
12.1250,84
12.1250,83
12.1250,6
12.2500,87
12.2500,14
12.2500,84
12.3750,13
12.3750,5
12.3750,87
12.3750,86
12.5000,88
12.5000,11
12.5000,86
12.5000,5
12.5000,12
12.5000,13
12.5000,82
12.6250,81
12.6250,11
12.6250,88
12.6250,12
12.7500,12
12.7500,10
12.7500,11
12.7500,34
12.7500,1
12.8750,10
12.8750,1
12.8750,89
12.8750,35
12.8750,0
12.8750,36
13.0000,10
13.0000,29
13.0000,89
13.0000,9
13.0000,30
13.0000,0
13.0000,32
13.0000,31
13.1250,9
13.1250,39
13.1250,37
13.1250,31
13.1250,32
13.1250,38
13.1250,27
13.1250,29
13.1250,20
13.2500,27
13.2500,20
13.2500,22
13.2500,91
13.2500,26
13.2500,25
13.2500,9
13.2500,33
13.2500,28
13.2500,21
13.2500,23
13.3750,2
13.3750,4
13.3750,25
13.3750,18
13.3750,21
13.3750,20
13.3750,24
13.3750,19
13.3750,28
13.3750,22
13.3750,33
13.3750,8
13.3750,23
13.3750,26
13.5000,19
13.5000,21
13.5000,22
13.5000,23
13.5000,8
13.5000,24
13.5000,18
13.6250,19
13.6250,90
13.6250,17
13.7500,17
13.7500,7
13.7500,16
13.8750,15
13.8750,92
13.8750,83
13.8750,6
13.8750,16
13.8750,85
13.8750,7
14.0000,84
14.0000,80
14.0000,15
14.0000,6
14.0000,85
14.0000,83
14.0000,14
14.1250,14
14.1250,79
14.1250,87
14.1250,84
14.2500,82
14.2500,13
14.2500,5
14.2500,86
14.2500,87
14.3750,82
14.3750,86
14.3750,5
14.3750,88
14.3750,13
14.5000,78
14.5000,81
14.5000,12
14.5000,88
14.5000,11
14.5000,93
14.6250,81
14.6250,11
14.6250,12
14.6250,34
14.6250,10
14.7500,36
14.7500,10
14.7500,89
14.7500,1
14.7500,35
14.8750,30
14.8750,9
14.8750,31
14.8750,32
14.8750,89
15.0000,9
15.0000,91
15.0000,32
15.0000,27
15.0000,31
15.0000,29
15.0000,94
15.1250,20
15.1250,9
15.1250,29
15.1250,8
15.1250,26
15.1250,28
15.1250,25
15.1250,91
15.1250,33
15.1250,27
15.2500,23
15.2500,22
15.2500,28
15.2500,26
15.2500,24
15.2500,21
15.2500,33
15.2500,8
15.2500,20
15.2500,25
15.2500,2
15.2500,18
15.3750,24
15.3750,8
15.3750,21
15.3750,2
15.3750,23
15.3750,18
15.3750,22
15.3750,19
15.3750,90
15.5000,90
15.5000,19
15.5000,17
15.5000,95
15.5000,7
15.6250,17
15.6250,7
15.6250,4
15.6250,16
15.6250,6
15.7500,7
15.7500,85
15.7500,16
15.7500,6
15.7500,15
15.7500,83
15.7500,92
15.8750,84
15.8750,92
15.8750,85
15.8750,6
15.8750,83
15.8750,41
15.8750,80
15.8750,15
16.0000,40
16.0000,84
16.0000,14
16.0000,87
16.0000,39
16.0000,79
16.1250,86
16.1250,5
16.1250,14
16.1250,87
16.1250,13
16.1250,82
16.2500,88
16.2500,0
16.2500,82
16.2500,86
16.2500,5
16.2500,13
16.3750,34
16.3750,11
16.3750,93
16.3750,12
16.3750,88
16.3750,81
16.5000,34
16.5000,12
16.5000,10
16.5000,1
16.5000,11
16.5000,38
16.6250,1
16.6250,30
16.6250,10
16.6250,89
16.6250,35
16.7500,37
16.7500,30
16.7500,89
16.7500,31
16.7500,32
16.8750,20
16.8750,36
16.8750,32
16.8750,29
16.8750,27
16.8750,91
16.8750,31
16.8750,94
16.8750,9
17.0000,29
17.0000,21
17.0000,22
17.0000,9
17.0000,23
17.0000,3
17.0000,20
17.0000,91
17.0000,18
17.0000,27
17.0000,26
17.0000,28
17.0000,25
17.0000,33
17.1250,19
17.1250,22
17.1250,20
17.1250,26
17.1250,21
17.1250,23
17.1250,8
17.1250,33
17.1250,25
17.1250,28
17.1250,24
17.1250,18
17.2500,17
17.2500,24
17.2500,21
17.2500,22
17.2500,90
17.2500,8
17.2500,23
17.2500,18
17.2500,19
17.2500,2
17.3750,90
17.3750,4
17.3750,17
17.3750,19
17.3750,95
17.5000,16
17.5000,7
17.5000,4
17.5000,17
17.6250,6
17.6250,16
17.6250,85
17.6250,83
17.6250,7
17.6250,92
17.6250,15
17.7500,83
17.7500,84
17.7500,6
17.7500,80
17.7500,85
17.7500,15
17.8750,84
17.8750,39
17.8750,14
17.8750,87
18.0000,0
18.0000,13
18.0000,87
18.0000,86
18.0000,82
18.0000,14
18.0000,5
18.1250,88
18.1250,86
18.1250,0
18.1250,5
18.1250,13
18.1250,82
18.2500,11
18.2500,81
18.2500,88
18.2500,93
18.2500,12
18.3750,10
18.3750,34
18.3750,1
18.3750,12
18.3750,11
18.5000,10
18.5000,1
18.5000,35
18.5000,89
18.5000,30
18.6250,30
18.6250,89
18.6250,31
18.6250,32
18.7500,32
18.7500,31
18.7500,25
18.7500,91
18.7500,9
18.7500,94
18.7500,27
18.7500,20
18.7500,36
18.7500,3
18.7500,29
18.8750,27
18.8750,29
18.8750,3
18.8750,96
18.8750,24
18.8750,37
18.8750,9
18.8750,38
18.8750,23
18.8750,21
18.8750,28
18.8750,91
18.8750,25
18.8750,26
18.8750,33
18.8750,40
18.8750,42
18.8750,41
18.8750,97
18.8750,20
18.8750,22
19.0000,20
19.0000,18
19.0000,23
19.0000,21
19.0000,28
19.0000,8
19.0000,19
19.0000,24
19.0000,22
19.0000,25
19.0000,33
19.0000,26
19.1250,19
19.1250,21
19.1250,24
19.1250,8
19.1250,23
19.1250,22
19.1250,18
19.1250,90
19.2500,95
19.2500,17
19.2500,18
19.2500,90
19.2500,19
19.2500,4
19.2500,98
19.3750,106
19.3750,102
19.3750,101
19.3750,92
19.3750,100
19.3750,4
19.3750,99
19.3750,16
19.3750,7
19.3750,17
19.3750,105
19.3750,107
19.5000,17
19.5000,92
19.5000,6
19.5000,83
19.5000,7
19.5000,85
19.5000,16
19.5000,15
19.5000,79
19.6250,39
19.6250,83
19.6250,104
19.6250,118
19.6250,110
19.6250,80
19.6250,111
19.6250,117
19.6250,116
19.6250,108
19.6250,6
19.6250,115
19.6250,119
19.6250,15
19.6250,112
19.6250,85
19.6250,109
19.6250,84
19.6250,103
19.7500,84
19.7500,114
19.7500,78
19.7500,113
19.7500,14
19.7500,87
19.7500,48
19.8750,49
19.8750,87
19.8750,86
19.8750,76
19.8750,82
19.8750,13
19.8750,77
19.8750,120
19.8750,47
19.8750,46
19.8750,14
19.8750,5
20.0000,81
20.0000,93
20.0000,13
20.0000,88
20.0000,0
20.0000,5
20.0000,82
20.0000,121
20.0000,123
20.0000,45
20.0000,122
20.0000,124
20.0000,86
20.1250,93
20.1250,44
20.1250,81
20.1250,11
20.1250,12
20.1250,34
20.1250,88
20.2500,125
20.2500,34
20.2500,11
20.2500,12
20.2500,10
20.3750,10
20.3750,89
20.3750,35
20.3750,30
20.5000,9
20.5000,89
20.5000,94
20.5000,126
20.5000,32
20.5000,30
20.5000,31
20.6250,91
20.6250,27
20.6250,36
20.6250,94
20.6250,29
20.6250,9
20.6250,32
20.6250,20
20.6250,31
20.7500,29
20.7500,127
20.7500,3
20.7500,21
20.7500,25
20.7500,20
20.7500,91
20.7500,38
20.7500,27
20.7500,22
20.7500,36
20.7500,8
20.7500,33
20.7500,96
20.7500,37
20.7500,97
20.7500,26
20.7500,28
20.8750,21
20.8750,20
20.8750,33
20.8750,28
20.8750,18
20.8750,19
20.8750,8
20.8750,1
20.8750,26
20.8750,23
20.8750,25
20.8750,22
20.8750,24
21.0000,8
21.0000,53
21.0000,95
21.0000,52
21.0000,22
21.0000,21
21.0000,90
21.0000,19
21.0000,18
21.0000,23
21.0000,24
21.1250,7
21.1250,105
21.1250,98
21.1250,106
21.1250,17
21.1250,19
21.1250,101
21.1250,18
21.1250,102
21.1250,90
21.1250,107
21.1250,16
21.2500,4
21.2500,100
21.2500,107
21.2500,102
21.2500,106
21.2500,101
21.2500,16
21.2500,99
21.2500,6
21.2500,105
21.2500,17
21.2500,92
21.2500,7
21.2500,79
21.3750,108
21.3750,100
21.3750,111
21.3750,110
21.3750,79
21.3750,83
21.3750,7
21.3750,92
21.3750,6
21.3750,109
21.3750,85
21.3750,103
21.3750,104
21.3750,112
21.3750,80
21.3750,116
21.3750,119
21.3750,51
21.3750,17
21.3750,117
21.3750,115
21.3750,118
21.3750,15
21.3750,4
21.5000,108
21.5000,117
21.5000,110
21.5000,6
21.5000,80
21.5000,40
21.5000,111
21.5000,115
21.5000,119
21.5000,113
21.5000,83
21.5000,41
21.5000,85
21.5000,103
21.5000,118
21.5000,109
21.5000,114
21.5000,84
21.5000,104
21.5000,112
21.5000,116
21.5000,42
21.5000,15
21.6250,78
21.6250,87
21.6250,113
21.6250,114
21.6250,120
21.6250,14
21.6250,84
21.6250,39
21.7500,87
21.7500,123
21.7500,122
21.7500,120
21.7500,86
21.7500,77
21.7500,121
21.7500,124
21.7500,5
21.7500,82
21.7500,13
21.7500,14
21.8750,88
21.8750,5
21.8750,81
21.8750,123
21.8750,121
21.8750,0
21.8750,82
21.8750,124
21.8750,13
21.8750,122
21.8750,86
21.8750,93
22.0000,12
22.0000,93
22.0000,34
22.0000,81
22.0000,11
22.0000,88
22.1250,12
22.1250,34
22.1250,10
22.1250,11
22.1250,125
22.1250,35
22.2500,125
22.2500,30
22.2500,49
22.2500,89
22.2500,10
22.2500,35
22.3750,31
22.3750,126
22.3750,9
22.3750,30
22.3750,94
22.3750,48
22.3750,89
22.3750,32
22.5000,3
22.5000,38
22.5000,32
22.5000,29
22.5000,37
22.5000,91
22.5000,47
22.5000,27
22.5000,31
22.5000,20
22.5000,94
22.5000,9
22.6250,29
22.6250,23
22.6250,37
22.6250,38
22.6250,96
22.6250,91
22.6250,20
22.6250,27
22.6250,1
22.6250,24
22.6250,33
22.6250,25
22.6250,26
22.6250,28
22.6250,3
22.6250,21
22.6250,22
22.6250,36
22.7500,26
22.7500,20
22.7500,25
22.7500,28
22.7500,46
22.7500,23
22.7500,19
22.7500,8
22.7500,36
22.7500,24
22.7500,1
22.7500,33
22.7500,21
22.7500,18
22.7500,22
22.8750,23
22.8750,24
22.8750,22
22.8750,18
22.8750,21
22.8750,95
22.8750,19
22.8750,8
22.8750,90
23.0000,45
23.0000,19
23.0000,18
23.0000,106
23.0000,105
23.0000,90
23.0000,17
23.0000,107
23.0000,102
23.0000,101
23.0000,16
23.1250,16
23.1250,4
23.1250,92
23.1250,102
23.1250,99
23.1250,106
23.1250,107
23.1250,105
23.1250,17
23.1250,101
23.1250,7
23.2500,79
23.2500,109
23.2500,103
23.2500,15
23.2500,100
23.2500,112
23.2500,118
23.2500,119
23.2500,108
23.2500,92
23.2500,7
23.2500,83
23.2500,44
23.2500,104
23.2500,80
23.2500,85
23.2500,117
23.2500,4
23.2500,116
23.2500,16
23.2500,115
23.2500,17
23.2500,6
23.3750,41
23.3750,83
23.3750,103
23.3750,40
23.3750,119
23.3750,84
23.3750,80
23.3750,113
23.3750,117
23.3750,6
23.3750,116
23.3750,85
23.3750,104
23.3750,111
23.3750,114
23.3750,115
23.3750,15
23.3750,112
23.3750,118
23.3750,108
23.3750,110
23.5000,39
23.5000,84
23.5000,120
23.5000,87
23.5000,113
23.5000,14
23.5000,114
23.6250,14
23.6250,5
23.6250,0
23.6250,120
23.6250,87
23.6250,122
23.6250,82
23.6250,121
23.6250,43
23.6250,86
23.6250,13
23.7500,0
23.7500,124
23.7500,5
23.7500,123
