time_ms,neuron_id,zone
11.7000,435,reservoir
12.9000,557,reservoir
13.8000,409,reservoir
13.9000,374,reservoir
14.1000,82,reservoir
14.3000,247,reservoir
14.4000,244,reservoir
14.4000,632,reservoir
14.6000,43,reservoir
14.8000,377,reservoir
15.0000,680,reservoir
15.1000,347,reservoir
15.1000,440,reservoir
15.3000,45,reservoir
15.3000,228,reservoir
15.3000,367,reservoir
15.3000,564,reservoir
15.5000,271,reservoir
15.5000,524,reservoir
15.5000,603,reservoir
15.6000,73,reservoir
15.6000,450,reservoir
15.8000,360,reservoir
16.0000,220,reservoir
16.1000,344,reservoir
16.1000,481,reservoir
16.1000,681,reservoir
16.3000,191,reservoir
16.3000,342,reservoir
16.3000,695,reservoir
16.4000,277,reservoir
16.4000,376,reservoir
16.4000,487,reservoir
16.5000,67,reservoir
16.6000,233,reservoir
16.7000,629,reservoir
16.8000,5,reservoir
16.8000,93,reservoir
16.9000,518,reservoir
18.6000,2,reservoir
18.9000,607,reservoir
19.9000,140,reservoir
21.7000,568,reservoir
23.0000,643,reservoir
47.0000,331,reservoir
47.3000,451,reservoir
48.6000,689,reservoir
48.8000,425,reservoir
48.9000,706,reservoir
49.0000,113,reservoir
49.0000,227,reservoir
49.2000,162,reservoir
49.2000,373,reservoir
49.4000,174,reservoir
49.4000,664,reservoir
49.8000,9,reservoir
50.0000,407,reservoir
50.1000,666,reservoir
50.2000,92,reservoir
50.2000,429,reservoir
50.2000,433,reservoir
50.3000,322,reservoir
50.3000,527,reservoir
50.3000,575,reservoir
50.3000,691,reservoir
50.4000,4,reservoir
50.4000,327,reservoir
50.7000,181,reservoir
50.9000,208,reservoir
50.9000,319,reservoir
51.0000,467,input
51.1000,147,input
51.1000,273,reservoir
51.1000,274,reservoir
51.1000,402,reservoir
51.3000,29,reservoir
51.4000,16,reservoir
51.4000,636,reservoir
51.4000,719,reservoir
51.5000,64,reservoir
51.5000,460,reservoir
51.6000,109,reservoir
51.6000,133,reservoir
51.7000,515,reservoir
51.8000,8,reservoir
51.8000,49,reservoir
51.8000,285,input
51.8000,498,reservoir
51.9000,88,reservoir
51.9000,165,reservoir
51.9000,231,reservoir
51.9000,235,reservoir
51.9000,360,reservoir
51.9000,491,reservoir
51.9000,497,reservoir
51.9000,511,reservoir
51.9000,605,reservoir
52.0000,237,reservoir
52.0000,242,reservoir
52.0000,353,reservoir
52.0000,462,input
52.0000,496,reservoir
52.1000,75,reservoir
52.1000,333,reservoir
52.1000,494,reservoir
52.2000,85,input
52.2000,349,input
52.2000,473,reservoir
52.3000,216,reservoir
52.3000,253,reservoir
52.3000,490,input
